,DateID,Date,Full Date Description,Day Of Week,Month,Year
0,20190401,2019-04-01,Mon Apr  1 00:00:00 2019,Monday,April,2019
183,20190402,2019-04-02,Tue Apr  2 00:00:00 2019,Tuesday,April,2019
391,20190403,2019-04-03,Wed Apr  3 00:00:00 2019,Wednesday,April,2019
587,20190404,2019-04-04,Thu Apr  4 00:00:00 2019,Thursday,April,2019
779,20190405,2019-04-05,Fri Apr  5 00:00:00 2019,Friday,April,2019
955,20190406,2019-04-06,Sat Apr  6 00:00:00 2019,Saturday,April,2019
1113,20190407,2019-04-07,Sun Apr  7 00:00:00 2019,Sunday,April,2019
1191,20190408,2019-04-08,Mon Apr  8 00:00:00 2019,Monday,April,2019
1393,20190409,2019-04-09,Tue Apr  9 00:00:00 2019,Tuesday,April,2019
1593,20190410,2019-04-10,Wed Apr 10 00:00:00 2019,Wednesday,April,2019
1799,20190411,2019-04-11,Thu Apr 11 00:00:00 2019,Thursday,April,2019
1988,20190412,2019-04-12,Fri Apr 12 00:00:00 2019,Friday,April,2019
2184,20190413,2019-04-13,Sat Apr 13 00:00:00 2019,Saturday,April,2019
2390,20190414,2019-04-14,Sun Apr 14 00:00:00 2019,Sunday,April,2019
2478,20190415,2019-04-15,Mon Apr 15 00:00:00 2019,Monday,April,2019
2668,20190416,2019-04-16,Tue Apr 16 00:00:00 2019,Tuesday,April,2019
2855,20190417,2019-04-17,Wed Apr 17 00:00:00 2019,Wednesday,April,2019
3040,20190418,2019-04-18,Thu Apr 18 00:00:00 2019,Thursday,April,2019
3232,20190419,2019-04-19,Fri Apr 19 00:00:00 2019,Friday,April,2019
3375,20190420,2019-04-20,Sat Apr 20 00:00:00 2019,Saturday,April,2019
3547,20190421,2019-04-21,Sun Apr 21 00:00:00 2019,Sunday,April,2019
3630,20190422,2019-04-22,Mon Apr 22 00:00:00 2019,Monday,April,2019
3819,20190423,2019-04-23,Tue Apr 23 00:00:00 2019,Tuesday,April,2019
4017,20190424,2019-04-24,Wed Apr 24 00:00:00 2019,Wednesday,April,2019
4209,20190425,2019-04-25,Thu Apr 25 00:00:00 2019,Thursday,April,2019
4393,20190426,2019-04-26,Fri Apr 26 00:00:00 2019,Friday,April,2019
4568,20190427,2019-04-27,Sat Apr 27 00:00:00 2019,Saturday,April,2019
4762,20190428,2019-04-28,Sun Apr 28 00:00:00 2019,Sunday,April,2019
4874,20190429,2019-04-29,Mon Apr 29 00:00:00 2019,Monday,April,2019
5039,20190430,2019-04-30,Tue Apr 30 00:00:00 2019,Tuesday,April,2019
5239,20190501,2019-05-01,Wed May  1 00:00:00 2019,Wednesday,May,2019
5421,20190502,2019-05-02,Thu May  2 00:00:00 2019,Thursday,May,2019
5592,20190503,2019-05-03,Fri May  3 00:00:00 2019,Friday,May,2019
5778,20190504,2019-05-04,Sat May  4 00:00:00 2019,Saturday,May,2019
5947,20190505,2019-05-05,Sun May  5 00:00:00 2019,Sunday,May,2019
6042,20190506,2019-05-06,Mon May  6 00:00:00 2019,Monday,May,2019
6249,20190507,2019-05-07,Tue May  7 00:00:00 2019,Tuesday,May,2019
58839,20190508,2019-05-08,Wed May  8 00:00:00 2019,Wednesday,May,2019
60525,20190509,2019-05-09,Thu May  9 00:00:00 2019,Thursday,May,2019
62101,20190510,2019-05-10,Fri May 10 00:00:00 2019,Friday,May,2019
63723,20190511,2019-05-11,Sat May 11 00:00:00 2019,Saturday,May,2019
65316,20190512,2019-05-12,Sun May 12 00:00:00 2019,Sunday,May,2019
66228,20190513,2019-05-13,Mon May 13 00:00:00 2019,Monday,May,2019
67919,20190514,2019-05-14,Tue May 14 00:00:00 2019,Tuesday,May,2019
69572,20190515,2019-05-15,Wed May 15 00:00:00 2019,Wednesday,May,2019
71101,20190516,2019-05-16,Thu May 16 00:00:00 2019,Thursday,May,2019
72447,20190517,2019-05-17,Fri May 17 00:00:00 2019,Friday,May,2019
74104,20190518,2019-05-18,Sat May 18 00:00:00 2019,Saturday,May,2019
75706,20190519,2019-05-19,Sun May 19 00:00:00 2019,Sunday,May,2019
76671,20190520,2019-05-20,Mon May 20 00:00:00 2019,Monday,May,2019
78321,20190521,2019-05-21,Tue May 21 00:00:00 2019,Tuesday,May,2019
79865,20190522,2019-05-22,Wed May 22 00:00:00 2019,Wednesday,May,2019
81539,20190523,2019-05-23,Thu May 23 00:00:00 2019,Thursday,May,2019
82885,20190524,2019-05-24,Fri May 24 00:00:00 2019,Friday,May,2019
83363,20190525,2019-05-25,Sat May 25 00:00:00 2019,Saturday,May,2019
85072,20190526,2019-05-26,Sun May 26 00:00:00 2019,Sunday,May,2019
86190,20190527,2019-05-27,Mon May 27 00:00:00 2019,Monday,May,2019
87917,20190528,2019-05-28,Tue May 28 00:00:00 2019,Tuesday,May,2019
89494,20190529,2019-05-29,Wed May 29 00:00:00 2019,Wednesday,May,2019
91023,20190530,2019-05-30,Thu May 30 00:00:00 2019,Thursday,May,2019
92587,20190531,2019-05-31,Fri May 31 00:00:00 2019,Friday,May,2019
94184,20190601,2019-06-01,Sat Jun  1 00:00:00 2019,Saturday,June,2019
95768,20190602,2019-06-02,Sun Jun  2 00:00:00 2019,Sunday,June,2019
96744,20190603,2019-06-03,Mon Jun  3 00:00:00 2019,Monday,June,2019
98705,20190604,2019-06-04,Tue Jun  4 00:00:00 2019,Tuesday,June,2019
100610,20190605,2019-06-05,Wed Jun  5 00:00:00 2019,Wednesday,June,2019
102245,20190606,2019-06-06,Thu Jun  6 00:00:00 2019,Thursday,June,2019
104120,20190607,2019-06-07,Fri Jun  7 00:00:00 2019,Friday,June,2019
