,store_ref_id,Store Name,Store_ref_key,Address,City,Region,Zip Code,Phone Number,Row Effective Date,Row Expiration Date,Current Row Indicator
0,468,Store 468,468,Rua 468,Cidade 468,Region 468,0000-468,+351 000000468,2019-04-01,2999-12-31,1
6430,473,Store 473,473,Rua 473,Cidade 473,Region 473,0000-473,+351 000000473,2019-04-01,2999-12-31,1
17105,471,Store 471,471,Rua 471,Cidade 471,Region 471,0000-471,+351 000000471,2019-04-01,2999-12-31,1
29107,467,Store 467,467,Rua 467,Cidade 467,Region 467,0000-467,+351 000000467,2019-04-01,2999-12-31,1
39176,459,Store 459,459,Rua 459,Cidade 459,Region 459,0000-459,+351 000000459,2019-04-01,2999-12-31,1
49785,455,Store 455,455,Rua 455,Cidade 455,Region 455,0000-455,+351 000000455,2019-04-01,2999-12-31,1
72892,396,Store 396,396,Rua 396,Cidade 396,Region 396,0000-396,+351 000000396,2019-05-17,2999-12-31,1
108630,380,Store 380,380,Rua 380,Cidade 380,Region 380,0000-380,+351 000000380,2019-06-10,2999-12-31,1
115620,386,Store 386,386,Rua 386,Cidade 386,Region 386,0000-386,+351 000000386,2019-06-10,2999-12-31,1
139003,435,Store 435,435,Rua 435,Cidade 435,Region 435,0000-435,+351 000000435,2019-04-01,2999-12-31,1
162089,418,Store 418,418,Rua 418,Cidade 418,Region 418,0000-418,+351 000000418,2019-04-01,2999-12-31,1
182641,412,Store 412,412,Rua 412,Cidade 412,Region 412,0000-412,+351 000000412,2019-04-01,2999-12-31,1
203710,411,Store 411,411,Rua 411,Cidade 411,Region 411,0000-411,+351 000000411,2019-04-01,2999-12-31,1
216729,389,Store 389,389,Rua 389,Cidade 389,Region 389,0000-389,+351 000000389,2019-04-16,2999-12-31,1
231407,462,Store 462,462,Rua 462,Cidade 462,Region 462,0000-462,+351 000000462,2019-04-01,2999-12-31,1
244211,458,Store 458,458,Rua 458,Cidade 458,Region 458,0000-458,+351 000000458,2019-04-01,2999-12-31,1
264844,456,Store 456,456,Rua 456,Cidade 456,Region 456,0000-456,+351 000000456,2019-04-01,2999-12-31,1
284628,454,Store 454,454,Rua 454,Cidade 454,Region 454,0000-454,+351 000000454,2019-04-01,2999-12-31,1
297809,452,Store 452,452,Rua 452,Cidade 452,Region 452,0000-452,+351 000000452,2019-04-01,2999-12-31,1
313146,449,Store 449,449,Rua 449,Cidade 449,Region 449,0000-449,+351 000000449,2019-04-01,2999-12-31,1
333850,447,Store 447,447,Rua 447,Cidade 447,Region 447,0000-447,+351 000000447,2019-04-01,2999-12-31,1
352856,444,Store 444,444,Rua 444,Cidade 444,Region 444,0000-444,+351 000000444,2019-04-01,2999-12-31,1
370339,441,Store 441,441,Rua 441,Cidade 441,Region 441,0000-441,+351 000000441,2019-04-01,2999-12-31,1
385111,439,Store 439,439,Rua 439,Cidade 439,Region 439,0000-439,+351 000000439,2019-04-01,2999-12-31,1
401337,436,Store 436,436,Rua 436,Cidade 436,Region 436,0000-436,+351 000000436,2019-04-01,2999-12-31,1
417614,432,Store 432,432,Rua 432,Cidade 432,Region 432,0000-432,+351 000000432,2019-04-01,2999-12-31,1
433892,430,Store 430,430,Rua 430,Cidade 430,Region 430,0000-430,+351 000000430,2019-04-01,2999-12-31,1
454606,424,Store 424,424,Rua 424,Cidade 424,Region 424,0000-424,+351 000000424,2019-04-01,2999-12-31,1
473228,421,Store 421,421,Rua 421,Cidade 421,Region 421,0000-421,+351 000000421,2019-04-01,2999-12-31,1
495241,414,Store 414,414,Rua 414,Cidade 414,Region 414,0000-414,+351 000000414,2019-04-01,2999-12-31,1
506566,408,Store 408,408,Rua 408,Cidade 408,Region 408,0000-408,+351 000000408,2019-04-01,2999-12-31,1
528438,405,Store 405,405,Rua 405,Cidade 405,Region 405,0000-405,+351 000000405,2019-04-01,2999-12-31,1
538431,402,Store 402,402,Rua 402,Cidade 402,Region 402,0000-402,+351 000000402,2019-04-01,2999-12-31,1
551698,399,Store 399,399,Rua 399,Cidade 399,Region 399,0000-399,+351 000000399,2019-04-01,2999-12-31,1
559749,392,Store 392,392,Rua 392,Cidade 392,Region 392,0000-392,+351 000000392,2019-04-01,2999-12-31,1
588406,393,Store 393,393,Rua 393,Cidade 393,Region 393,0000-393,+351 000000393,2019-07-04,2999-12-31,1
691347,379,Store 379,379,Rua 379,Cidade 379,Region 379,0000-379,+351 000000379,2019-07-22,2999-12-31,1
847771,378,Store 378,378,Rua 378,Cidade 378,Region 378,0000-378,+351 000000378,2019-08-16,2999-12-31,1
869446,376,Store 376,376,Rua 376,Cidade 376,Region 376,0000-376,+351 000000376,2019-08-19,2999-12-31,1
903749,371,Store 371,371,Rua 371,Cidade 371,Region 371,0000-371,+351 000000371,2019-08-24,2999-12-31,1
925494,366,Store 366,366,Rua 366,Cidade 366,Region 366,0000-366,+351 000000366,2019-08-27,2999-12-31,1
1134319,360,Store 360,360,Rua 360,Cidade 360,Region 360,0000-360,+351 000000360,2019-09-24,2999-12-31,1
1179117,355,Store 355,355,Rua 355,Cidade 355,Region 355,0000-355,+351 000000355,2019-09-30,2999-12-31,1
